nombre_universidad,tipo_universidad,quintil,estado,ubicacion,fuente,convocatoria,modalidad,nota_minima,requisitos_adicionales,descripcion
Universidad Nacional Autónoma de Chota,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional Autónoma de Chota,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional Autónoma de Chota,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional Autónoma de Chota,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional Autónoma de Chota,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional Autónoma de Chota,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional Autónoma de Chota,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional Autónoma de Chota,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional Intercultural de Quillabamba,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional Intercultural de Quillabamba,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional Intercultural de Quillabamba,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional Intercultural de Quillabamba,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional Intercultural de Quillabamba,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional Intercultural de Quillabamba,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional Intercultural de Quillabamba,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional Intercultural de Quillabamba,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional San Luis Gonzaga de Ica,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional San Luis Gonzaga de Ica,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional San Luis Gonzaga de Ica,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional San Luis Gonzaga de Ica,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional San Luis Gonzaga de Ica,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional San Luis Gonzaga de Ica,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional San Luis Gonzaga de Ica,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional San Luis Gonzaga de Ica,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional Amazónica de Madre de Dios,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional Amazónica de Madre de Dios,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional Amazónica de Madre de Dios,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional Amazónica de Madre de Dios,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional Amazónica de Madre de Dios,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional Amazónica de Madre de Dios,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional Amazónica de Madre de Dios,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional Amazónica de Madre de Dios,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional de Cajamarca,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional de Cajamarca,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional de Cajamarca,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional de Cajamarca,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional de Cajamarca,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional de Cajamarca,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional de Cajamarca,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional de Cajamarca,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional Agraria La Molina,Pública,4,Licenciada,Lima,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional Agraria La Molina,Pública,4,Licenciada,Lima,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional Agraria La Molina,Pública,4,Licenciada,Lima,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional Agraria La Molina,Pública,4,Licenciada,Lima,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional Agraria La Molina,Pública,4,Licenciada,Lima,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional Agraria La Molina,Pública,4,Licenciada,Lima,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional Agraria La Molina,Pública,4,Licenciada,Lima,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional Agraria La Molina,Pública,4,Licenciada,Lima,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional de Tumbes,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional de Tumbes,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional de Tumbes,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional de Tumbes,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional de Tumbes,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional de Tumbes,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional de Tumbes,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional de Tumbes,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional Daniel Alcides Carrión,Pública,4,Licenciada,Pasco,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional Daniel Alcides Carrión,Pública,4,Licenciada,Pasco,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional Daniel Alcides Carrión,Pública,4,Licenciada,Pasco,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional Daniel Alcides Carrión,Pública,4,Licenciada,Pasco,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional Daniel Alcides Carrión,Pública,4,Licenciada,Pasco,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional Daniel Alcides Carrión,Pública,4,Licenciada,Pasco,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional Daniel Alcides Carrión,Pública,4,Licenciada,Pasco,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional Daniel Alcides Carrión,Pública,4,Licenciada,Pasco,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional Santiago Antúnez de Mayolo,Pública,4,Licenciada,Huaraz,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional Santiago Antúnez de Mayolo,Pública,4,Licenciada,Huaraz,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional Santiago Antúnez de Mayolo,Pública,4,Licenciada,Huaraz,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional Santiago Antúnez de Mayolo,Pública,4,Licenciada,Huaraz,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional Santiago Antúnez de Mayolo,Pública,4,Licenciada,Huaraz,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional Santiago Antúnez de Mayolo,Pública,4,Licenciada,Huaraz,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional Santiago Antúnez de Mayolo,Pública,4,Licenciada,Huaraz,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional Santiago Antúnez de Mayolo,Pública,4,Licenciada,Huaraz,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional de Moquegua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional de Moquegua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional de Moquegua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional de Moquegua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional de Moquegua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional de Moquegua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional de Moquegua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional de Moquegua,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional de la Amazonía Peruana,Pública,4,Licenciada,Iquitos,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional de la Amazonía Peruana,Pública,4,Licenciada,Iquitos,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional de la Amazonía Peruana,Pública,4,Licenciada,Iquitos,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional de la Amazonía Peruana,Pública,4,Licenciada,Iquitos,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional de la Amazonía Peruana,Pública,4,Licenciada,Iquitos,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional de la Amazonía Peruana,Pública,4,Licenciada,Iquitos,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional de la Amazonía Peruana,Pública,4,Licenciada,Iquitos,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional de la Amazonía Peruana,Pública,4,Licenciada,Iquitos,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional de Cañete,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
Universidad Nacional de Cañete,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Huallaga,Tercio superior,"Residir en el Huallaga, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en el Huallaga
Universidad Nacional de Cañete,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Vraem,Tercio superior,"Residir en zonas del VRAEM, tercio superior en secundaria",Para jóvenes menores de 22 años residentes en zonas del VRAEM
Universidad Nacional de Cañete,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,EIB,Medio superior,"Dominar lengua originaria elegible, medio superior en secundaria",Para quienes dominen lenguas originarias y estudien Educación Intercultural Bilingüe
Universidad Nacional de Cañete,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Protección,Medio superior,"Acreditar tutela del Estado, medio superior en secundaria",Para jóvenes menores de 22 años que estuvieron en tutela del Estado
Universidad Nacional de Cañete,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,CNA y PA,Medio superior,Acreditar pertenencia a comunidad nativa o población afroperuana,Para peruanos de comunidades nativas amazónicas o población afroperuana
Universidad Nacional de Cañete,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,FF.AA.,Medio superior,"Licencia del Servicio Militar Voluntario, medio superior en secundaria",Para licenciados del Servicio Militar Voluntario (mínimo 12 meses)
Universidad Nacional de Cañete,Pública,4,Licenciada,,Lista oficial PRONABEC 2025,2025,Repared,Nota mínima de 12.0,"Acreditar condición de víctima de violencia 1980-2000, nota mínima 12",Para víctimas de la violencia ocurrida entre 1980-2000
Universidad Nacional Pedro Ruíz Gallo,Pública,4,Licenciada,Lambayeque,Lista oficial PRONABEC 2025,2025,Ordinaria,Tercio superior,"Acreditar condición de pobreza según SISFOH, tercio superior en secundaria",Para jóvenes menores de 22 años en situación de pobreza o pobreza extrema
